"ID","Title","Case ID","Comment","Defects","Elapsed","Estimate","Forecast","In Progress","Plan","Plan ID","Priority","References","Run","Run Configuration","Run ID","Section","Section Depth","Section Description","Type","Version"
"T130158","Tutorial - Tutorial messages show on first play","C126829","","","","","","","","","High","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Tutorial","0","","Functional",""
"T130159","Tutorial - First-time player tutorial prompt appears","C126830","","","","","","","","","High","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Tutorial","0","","Functional",""
"T130157","Update - Version upgrade keeps the local save","C126828","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Update / Upgrade","0","","Functional",""
"T130192","Update - After upgrade, a 30s wait on the main menu can show an interstitial","C128596","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Update / Upgrade","0","","Other",""
"T130193","Update - Obj-C to Unity upgrade starts a fresh 30s ad timer","C128597","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Update / Upgrade","0","","Other",""
"T130194","Update - Existing user does not see Terms, tracking, tutorial, or age gate again","C128598","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Update / Upgrade","0","","Other",""
"T130195","Update - Options persist (Hearts, Applause, Card Lowering, etc.)","C128599","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Update / Upgrade","0","","Other",""
"T130196","Update - Solo stats are not wiped","C128600","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Update / Upgrade","0","","Other",""
"T130197","Update - Choose Look (felt + card back) persists","C128601","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Update / Upgrade","0","","Other",""
"T130160","Music - App off / device on is silent","C126831","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Music","0","","Functional",""
"T130161","Music - App on / device on plays music","C126832","","","","","","","","","High","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Music","0","","Functional",""
"T130162","Music - App on / device off is silent","C126833","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Music","0","","Functional",""
"T130163","SFX - App off / device on is silent","C126834","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","SFX","0","","Functional",""
"T130164","SFX - App on / device on plays effects","C126835","","","","","","","","","High","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","SFX","0","","Functional",""
"T130165","SFX - App on / device off is silent","C126836","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","SFX","0","","Functional",""
"T130166","Visuals - Menu background loads","C126837","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Visuals / Art","0","","Functional",""
"T130167","Visuals - Menu background after leaving a game","C126838","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Visuals / Art","0","","Functional",""
"T130168","Visuals - Gameplay background after leaving the menu","C126839","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Visuals / Art","0","","Functional",""
"T130169","Visuals - UI colors match across menu and game","C126840","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Visuals / Art","0","","Functional",""
"T130170","Visuals - UI colors during menu ↔ game transition","C126841","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Visuals / Art","0","","Functional",""
"T130171","Performance - FPS stays playable on the table","C126842","","","","","","","","","High","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Performance","0","","Functional",""
"T130172","Performance - Multi-touch does not break the table","C126843","","","","","","","","","High","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Performance","0","","Functional",""
"T130173","GDPR - EU user sees the expected privacy / consent flow","C126844","","","","","","","","","High","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","GDPR","0","","Functional",""
"T130174","GDPR - US (TX) user sees the expected privacy flow  / consent flow","C126845","","","","","","","","","High","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","GDPR","0","","Functional",""
"T130175","GDPR - US (CA) user sees the expected privacy flow / consent flow","C126846","","","","","","","","","High","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","GDPR","0","","Functional",""
"T130176","Load Time - Initial install to interactive menu","C126847","","","","","","","","","High","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Load Time","0","","Functional",""
"T130177","Load Time - Subsequent app start to interactive menu","C126848","","","","","","","","","High","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Load Time","0","","Functional",""
"T130178","Misc - Portrait mode is used throughout","C126849","","","","","","","","","High","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Misc","0","","Functional",""
"T130179","Privacy Popup - users see the popup on launch","C126850","","","","","","","","","Critical","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Privacy Policy Popup","0","","Functional",""
"T130180","Privacy Popup - New users after 30th March do not see the popup","C126851","","","","","","","","","Critical","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Privacy Policy Popup","0","","Functional",""
"T130181","Privacy Popup - Popup appears correctly on every screen and is dismiss-able.","C126852","","","","","","","","","High","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Privacy Policy Popup","0","","Functional",""
